arzt_id;stadt;fachrichtung;fachgruppe;bundesland;flaeche_km2;einwohner;anzahl_bewertungen;durchschnittsbewertung
11301633;Bad Homburg;Augenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;19;1.43
11461809;Bad Homburg;Augenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;1;1.54
11351169;Bad Homburg;Frauenarzt (Gynäkologe);Frauen-, Kinder- & Jugendmedizin;Hessen;51.14;56688.0;13;1.38
10357216;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;60;1.72
11069619;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;49;2.51
11081775;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;30;1.4
11111605;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;58;2.07
11350872;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;28;1.32
11392587;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;3;1.84
11497856;Bad Homburg;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;5;1.52
10034463;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;29;2.4
10118009;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;85;2.45
10283214;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;45;2.43
10334495;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;38;2.9
10440547;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;83;1.89
11327910;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;5;1.21
11582918;Bad Homburg;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Hessen;51.14;56688.0;6;1.68
10153640;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;9;3.29
10385852;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;11;2.23
11031107;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;2;1.32
11068906;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;30;1.96
11120071;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;10;1.2
11184318;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;2;1.62
11249348;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;40;1.96
11302872;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;5;1.93
11363222;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;2;1.26
11440126;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;100;1.36
11485527;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;1;1.19
11500429;Bad Homburg;Internist;Hausärztliche / Allgemeine Versorgung;Hessen;51.14;56688.0;7;2.24
10038088;Bad Homburg;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Hessen;51.14;56688.0;34;2.11
